id	key	piikey	name	type	match	rule	minlen	maxlen	priority	validator	fieldrule	fieldrulematch	imprecise
iso3166-alpha3	countrycode_alpha3		ISO 3166 country code alpha 3	data	text	abw,afg,ago,alb,and,ant,arb,are,arg,arm,asm,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bwa,caf,can,che,chi,chl,chn,civ,cmr,cod,cog,col,com,cpv,cri,cub,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,eap,eas,eca,ecs,ecu,egy,emu,eri,esp,est,eth,euu,fin,fji,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hic,hkg,hnd,hpc,hrv,hti,hun,idn,imn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,ksv,kwt,lac,lao,lbn,lbr,lby,lca,lcn,ldc,lic,lie,lka,lmc,lmy,lso,ltu,lux,lva,mac,mar,mco,mda,mdg,mdv,mea,mex,mhl,mic,mkd,mli,mlt,mmr,mna,mne,mng,mnp,moz,mrt,mus,mwi,mys,myt,nac,nam,ncl,ner,nga,nic,nld,noc,nor,npl,nzl,oec,oed,omn,pak,pan,per,phl,plw,png,pol,pri,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sas,sau,sdn,sen,sgp,slb,sle,slv,smr,som,srb,ssa,ssf,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umc,ury,usa,uzb,vct,ven,vir,vnm,vut,wld,wsm,yem,zaf,zmb,zwe,	0	3	1		Optional(Word(printables)) + CaselessLiteral('country') + Optional(Word(printables))	ppr	False
iso3166-alpha2imprecise	countrycode_alpha2		ISO 3166 country code alpha 2	data	text	aw,af,ao,al,ad,an,1a,ae,ar,am,as,ag,au,at,az,bi,be,bj,bf,bd,bg,bh,bs,ba,by,bz,bm,bo,br,bb,bn,bt,bw,cf,ca,ch,jg,cl,cn,ci,cm,cd,cg,co,km,cv,cr,cu,ky,cy,cz,de,dj,dm,dk,do,dz,4e,z4,7e,z7,ec,eg,xc,er,es,ee,et,eu,fi,fj,fr,fo,fm,ga,gb,ge,gh,gi,gn,gm,gw,gq,gr,gd,gl,gt,gu,gy,xd,hk,hn,xe,hr,ht,hu,id,im,in,ie,ir,iq,is,il,it,jm,jo,jp,kz,ke,kg,kh,ki,kn,kr,kv,kw,xj,la,lb,lr,ly,lc,zj,xl,xm,li,lk,xn,xo,ls,lt,lu,lv,mo,ma,mc,md,mg,mv,zq,mx,mh,xp,mk,ml,mt,mm,xq,me,mn,mp,mz,mr,mu,mw,my,yt,xu,na,nc,ne,ng,ni,nl,xr,no,np,nz,xs,oe,om,pk,pa,pe,ph,pw,pg,pl,pr,kp,pt,py,ps,pf,qa,ro,ru,rw,8s,sa,sd,sn,sg,sb,sl,sv,sm,so,rs,zf,zg,st,sr,sk,si,se,sz,sc,sy,tc,td,tg,th,tj,tm,tl,to,tt,tn,tr,tv,tz,ug,ua,xt,uy,us,uz,vc,ve,vi,vn,vu,1w,ws,ye,za,zm,zw,tw,va	2	2	1				True
iso3166-alpha3imprecise	countrycode_alpha3		ISO 3166 country code alpha 3	data	text	abw,afg,ago,alb,and,ant,arb,are,arg,arm,asm,atg,aus,aut,aze,bdi,bel,ben,bfa,bgd,bgr,bhr,bhs,bih,blr,blz,bmu,bol,bra,brb,brn,btn,bwa,caf,can,che,chi,chl,chn,civ,cmr,cod,cog,col,com,cpv,cri,cub,cym,cyp,cze,deu,dji,dma,dnk,dom,dza,eap,eas,eca,ecs,ecu,egy,emu,eri,esp,est,eth,euu,fin,fji,fra,fro,fsm,gab,gbr,geo,gha,gib,gin,gmb,gnb,gnq,grc,grd,grl,gtm,gum,guy,hic,hkg,hnd,hpc,hrv,hti,hun,idn,imn,ind,irl,irn,irq,isl,isr,ita,jam,jor,jpn,kaz,ken,kgz,khm,kir,kna,kor,ksv,kwt,lac,lao,lbn,lbr,lby,lca,lcn,ldc,lic,lie,lka,lmc,lmy,lso,ltu,lux,lva,mac,mar,mco,mda,mdg,mdv,mea,mex,mhl,mic,mkd,mli,mlt,mmr,mna,mne,mng,mnp,moz,mrt,mus,mwi,mys,myt,nac,nam,ncl,ner,nga,nic,nld,noc,nor,npl,nzl,oec,oed,omn,pak,pan,per,phl,plw,png,pol,pri,prk,prt,pry,pse,pyf,qat,rou,rus,rwa,sas,sau,sdn,sen,sgp,slb,sle,slv,smr,som,srb,ssa,ssf,stp,sur,svk,svn,swe,swz,syc,syr,tca,tcd,tgo,tha,tjk,tkm,tls,ton,tto,tun,tur,tuv,tza,uga,ukr,umc,ury,usa,uzb,vct,ven,vir,vnm,vut,wld,wsm,yem,zaf,zmb,zwe,	0	3	1				True
languagetag	languagetag		IETF language tags (RFC 5646)	data	text	en-gb,ru,	0	5					False
ipv4	ipv4	ipv4	IPv4 address	data	ppr	Word(nums, min=1, max=3) + 3*('.'+Word(nums, min=1, max=4))	7	15	1	metacrafterext.rules.common.internet.validate_ipv4			False
ipv6	ipv6	ipv6	IPv6 address	data	ppr	((Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 7 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 6) + Literal('::')) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 5) + Literal('::') + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 4) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 3) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 2 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 2) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 3 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + (Literal(':').suppress() + Word('0123456789abcdefABCDEF', min = 1, max = 4)) * (0, 1) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 4 + Word('0123456789abcdefABCDEF', min = 1, max = 4)) ^ (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal('::') + (Word('0123456789abcdefABCDEF', min = 1, max = 4) + Literal(':').suppress()) * 5 + Word('0123456789abcdefABCDEF', min = 1, max = 4))	15	39	1	metacrafterext.rules.common.internet.validate_ipv6			False
eui48	eui48	eui48	MAC address (EUI48)	data	ppr	Word(hexnums, min=2, max=2) + 5*(':'+Word(hexnums, min=2, max=2))	17	17	1	metacrafterext.rules.common.internet.validate_macaddr			False
isbn13	isbn13		International Standard Book Number (ISBN)	data	ppr	Word(nums, exact=3) + Literal('-').suppress() + Word(nums, exact=1) + Literal('-').suppress() + Word(nums, exact=2) + Literal('-').suppress() + Word(nums, exact=6) + Literal('-').suppress() + Word(nums, exact=1)	17	17	1	metacrafterext.rules.common.objects.valid_isbn13			False
isbn10	isbn10		International Standard Book Number (ISBN)	data	ppr	Word(nums, exact=1) + Literal('-').suppress() + Word(nums, exact=2) + Literal('-').suppress() + Word(nums, exact=6) + Literal('-').suppress() + Word(nums, exact=1)	13	13	1	metacrafterext.rules.common.objects.valid_isbn10			False
doibydata	doi		DOI unique ID of publication	data	ppr	Literal("10.") + Word(nums,exact=4) + Literal("/") + Word(printables)	3	100					False
vehiclenumberbyfieldname	vehiclenumber		Vehicle number by known fieldnames	data	text	vehiclenumber,vehicle number,vehicle_number	13	14					False
endayofweek	endayofweek		English day of week	data	text	monday,tuesday,wednesday,thursday,friday,saturday,sunday	6	9					False
enmonth	enmonth		English month	data	text	january,february,march,april,may,june,jule,august,september,october,november,december	3	9					False
enmonthshort	enmonthshort		English month shortened	data	text	jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec	3	3					False
encompanynamebypostfix	encompanyname		UK name of the company	data	func	metacrafterext.rules.en.orgs.is_uk_orgname	10	120	1				False
